wako
64
112
0,2
0,1
3,1
3,2
3,17
3,6
4,1
4,6
4,5
7,5
7,6
7,21
7,10
8,5
8,10
8,9
11,9
11,10
11,25
11,14
12,9
12,14
12,13
15,13
15,14
15,29
16,2
16,18
16,17
20,6
20,17
20,22
20,21
24,10
24,21
24,26
24,25
28,14
28,25
28,30
28,29
19,17
19,18
19,33
19,22
23,21
23,22
23,37
23,26
27,25
27,26
27,41
27,30
31,29
31,30
31,45
32,18
32,34
32,33
36,22
36,33
36,38
36,37
40,26
40,37
40,42
40,41
44,30
44,41
44,46
44,45
35,33
35,34
35,49
35,38
39,37
39,38
39,53
39,42
43,41
43,42
43,57
43,46
47,45
47,46
47,61
48,34
48,50
48,49
52,38
52,49
52,54
52,53
56,42
56,53
56,58
56,57
60,46
60,57
60,62
60,61
51,49
51,50
51,54
55,53
55,54
55,58
59,57
59,58
59,62
63,61
63,62

